MnFeCoNiAl
increment: 10
strain_r: 0.001
temperature: 300
e: Mn-Co, Fe-Ni,Al
ratio:50.0:50.0,33.0:67.0,100
data:
Mn,Fe,Co,Ni,Al
12.60,12.09,11.12,10.94,16.472
338.84,26.375,262.89,199.1,65.498
130.52,8.9429,101.66,76.0,23.922
Start of Predicted Data
psA,psB,psC,Mn,Co,Fe,Ni,Al,V_ave,b_ave,E_ave,mu_ave,nu_ave,sum_cnVn^2_b6,Ty0_tensile,Delta_Eb,Delta_sigma_ss
0.6,0.3,0.1,0.3,0.3,0.1,0.2,0.1,12.160200000000001,2.58118166736,229.5263,88.14049,0.302048014482,0.0085888158142,932.375529361,2.28048203361,206.585576344
0.6,0.4,0.0,0.3,0.3,0.133,0.267,0.0,11.645333333333335,2.54422573181,237.129,91.1130533333,0.301289943234,0.00189965278654,351.714928366,1.36376769667,62.7983293668
0.7,0.0,0.3,0.35,0.35,0.0,0.0,0.3,13.2436,2.65566741199,230.2549,88.4396,0.301763576497,0.0138264807393,1283.96140422,2.9194981076,305.000783814
0.7,0.1,0.2,0.35,0.35,0.033,0.067,0.2,12.728733333333334,2.62079707465,237.8576,91.4121633333,0.301017235161,0.0121617866004,1215.66979458,2.77586133837,285.067034103
0.7,0.2,0.1,0.35,0.35,0.067,0.133,0.1,12.21386666666667,2.58497327529,245.4603,94.3847266667,0.300317904542,0.00838435876839,977.547667559,2.42703355869,220.778049267
0.7,0.3,0.0,0.35,0.35,0.1,0.2,0.0,11.699000000000002,2.54812803615,253.063,97.35729,0.299661278575,0.0019433850045,379.74760124,1.47157795213,70.5878568932
0.8,0.0,0.2,0.4,0.4,0.0,0.0,0.2,12.782400000000003,2.62447516351,253.7916,97.6564,0.299410996105,0.0117552265232,1263.64073231,2.93749638525,300.63482525
0.8,0.1,0.1,0.4,0.4,0.033,0.067,0.1,12.267533333333335,2.58875379276,261.3943,100.628963333,0.298802508449,0.00816400497757,1019.34250876,2.5702868091,234.077209776
0.8,0.2,0.0,0.4,0.4,0.067,0.133,0.0,11.752666666666668,2.55201842468,268.997,103.601526667,0.298228938583,0.00196538958361,405.444087832,1.57575159657,77.9110292034
0.9,0.0,0.1,0.45,0.45,0.0,0.0,0.1,12.321200000000001,2.59252330052,277.3283,106.8732,0.29746419121,0.00792819225282,1057.49606117,2.70975213147,246.395069759
0.9,0.1,0.0,0.45,0.45,0.033,0.067,0.0,11.806333333333333,2.55589698794,284.931,109.845763333,0.296959442739,0.0019662523441,428.412477526,1.67548492787,84.6369286187
1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,11.86,2.55976381538,300.865,116.09,0.295826513912,0.00194654328606,448.24802928,1.7698809819,90.6341960243
